"id_mutation","nature_mutation","valeur_fonciere","code_postal","type_local","surface_reelle_bati"
"2023-432894","Vente","93615","80460","Maison","49"
"2023-432895","Vente","150000","80132","Maison","47"
"2023-432896","Vente","198000","80500","Maison","95"
"2023-432899","Vente","1682500","80000","Local industriel. commercial ou assimilé","567"
"2023-432900","Vente","218000","80470","Maison","88"
"2023-432901","Vente","80000","80000","Appartement","45"
"2023-432902","Vente","135000","80500","Maison","89"
"2023-432903","Vente","340000","80090","Maison","108"
"2023-432904","Vente","186000","80090","Maison","96"
"2023-432905","Vente","245775","80560","Maison","86"
"2023-432906","Vente","185000","80450","Maison","87"
"2023-432907","Vente","118500","80000","Appartement","42"
"2023-432908","Vente","62500","80500","Maison","102"
"2023-432909","Vente","98500","80080","Maison","44"
"2023-432910","Vente","310000","80090","Maison","94"
"2023-432911","Vente","177000","80470","Maison","98"
"2023-432912","Vente","147000","80090","Appartement","57"
"2023-432913","Vente","190000","80000","Maison","120"
"2023-432914","Vente","163000","80160","Maison","62"
"2023-432914","Vente","163000","80160","Local industriel. commercial ou assimilé","316"
"2023-432914","Vente","163000","80160","Maison","83"
"2023-432915","Vente","302000","80450","Maison","106"
"2023-432916","Vente","269000","80300","Maison","127"
"2023-432916","Vente","269000","80300","Maison","127"
"2023-432916","Vente","269000","80300","Maison","127"
"2023-432917","Vente","66000","80700","Local industriel. commercial ou assimilé","100"
"2023-432918","Vente","50000","80170","Maison","101"
"2023-432919","Vente","161500","80410","Maison","46"
"2023-432920","Vente","190000","80132","Maison","104"
"2023-432921","Vente","235275","80470","Maison","95"
"2023-432923","Vente","303000","80000","Appartement","48"
"2023-432924","Vente","131000","80300","Maison","72"
"2023-432925","Vente","75000","80560","Local industriel. commercial ou assimilé","79"
"2023-432925","Vente","75000","80560","Maison","126"
"2023-432927","Vente","90000","80080","Maison","76"
"2023-432928","Vente","149000","80150","Appartement","45"
"2023-432928","Vente","149000","80150","Appartement","41"
"2023-432928","Vente","149000","80150","Maison","30"
"2023-432929","Vente","99000","80090","Appartement","31"
"2023-432931","Vente","90000","80510","Maison","140"
"2023-432932","Vente","105000","80780","Maison","64"
"2023-432933","Vente","58750","80830","Maison","64"
"2023-432934","Vente","98000","80100","Appartement","73"
"2023-432935","Vente","130000","80420","Maison","83"
"2023-432936","Vente","63000","80320","Maison","79"
"2023-432938","Vente","35000","80320","Maison","80"
"2023-432939","Vente","238550","80090","Maison","58"
"2023-432942","Vente","77000","80000","Appartement","44"
"2023-432943","Vente","215000","80000","Maison","95"
"2023-432945","Vente","28000","80140","Maison","28"
"2023-432946","Vente","224700","80000","Appartement","72"
"2023-432948","Vente","158000","80620","Maison","120"
"2023-432950","Vente","98000","80300","Maison","59"
"2023-432952","Vente","175000","80100","Maison","77"
"2023-432953","Vente","135000","80450","Local industriel. commercial ou assimilé","34"
"2023-432953","Vente","135000","80450","Maison","63"
"2023-432953","Vente","135000","80450","Appartement","24"
"2023-432955","Vente","39000","80200","Maison","70"
"2023-432957","Vente","87200","80240","Maison","45"
"2023-432958","Vente","480000","80480","Maison","101"
"2023-432958","Vente","480000","80480","Maison","101"
"2023-432959","Vente","225000","80090","Appartement","24"
"2023-432959","Vente","225000","80090","Appartement","20"
"2023-432959","Vente","225000","80090","Appartement","16"
"2023-432959","Vente","225000","80090","Appartement","27"
"2023-432959","Vente","225000","80090","Maison","26"
"2023-432960","Vente","74600","80300","Maison","51"
